measure,n_unadjusted,beta_unadjusted,se_unadjusted,p_unadjusted,partial_r2_unadjusted,n_adjusted,beta_adjusted,se_adjusted,p_adjusted,partial_r2_adjusted,attenuation
asjp_lexical,35681,-0.3848106792896582,0.06110865137639571,3.0315715509046415e-10,0.15007547615971184,35681,-0.28500801426769556,0.02669653847177559,1.3205549702925644e-26,0.05941232105331129,0.2593552372459972
concepts_lexical,48561,-0.24629514927532192,0.0693340145212345,0.0003818806766779462,0.06076437560262271,48561,-0.07884533477551577,0.036166810652178555,0.02925400299582219,0.005250622711069797,0.6798745935212138
glottolog_genetic,49872,-0.30739789131968914,0.13451048661527676,0.022294774103621053,0.09439940809137803,49872,-0.1817316654690673,0.048178197305489646,0.00016189703033728828,0.030299246332000762,0.40880640173270044
l2v_genetic,40520,-0.40922143487686824,0.031436081516261566,9.721387635671484e-39,0.17011831297718005,40520,-0.284512857081546,0.028764948646410462,4.556530370578927e-23,0.056969836819920294,0.30474595699720897
urielplus_genetic,40520,-0.40780258681157644,0.028425340257430574,1.1213962707438088e-46,0.16894069334408657,40520,-0.2808856863750736,0.025657971344213,6.845262641726256e-28,0.05630695797484997,0.3112214207094872
modality_hyperbolic,40520,-0.19099661662593564,0.0660847818097098,0.003850268227071604,0.03705831493452727,40520,-0.11230566521194002,0.025931151595206002,1.484896519652559e-05,0.011170810957276789,0.4120018082210891
l2v_geographic,40520,-0.28709157318138046,0.08528610308839973,0.0007620659343438537,0.0837288661044403,40520,-0.101511319810197,0.043116154932732784,0.0185542040401244,0.008365145132979479,0.6464148400968093
urielplus_geographic,40520,-0.2988429784159692,0.08007801694121054,0.0001900425772744083,0.0907236327542158,40520,-0.11432647733025954,0.051397140744343706,0.02612327363240201,0.008278687633285098,0.6174362940154986
modality_speaker,40520,-0.2631044536531728,0.09247183212110695,0.004437812580390967,0.070321919840174,40520,-0.15223212321807778,0.04550695846087931,0.0008220862643821534,0.017632578688806633,0.4214004320171948
grambank_typological,34443,-0.20923225030054673,0.041949447974566616,6.109490097328375e-07,0.04731479499790325,34443,-0.1612568605495489,0.017889831471000605,1.9888556653671233e-19,0.02556635514097705,0.22929251911253978
qwals_typological,47137,-0.4091647072335247,0.039233996674099963,1.8312801117425985e-25,0.16435164168857408,47137,-0.24451183157277398,0.029652668020576284,1.6397275162870927e-16,0.04277101780128134,0.4024122138344096
l2v_featural,40520,-0.3033153545617786,0.10318847159677551,0.0032881586272308348,0.0934594264392965,40520,-0.15824258985713407,0.051665383608892106,0.002192502818236144,0.020203860986419353,0.4782902102474882
l2v_syntactic,40520,-0.4010518994692186,0.05059833335740856,2.2597551977271998e-15,0.16339376299819597,40520,-0.2340936514772742,0.04773599340617925,9.394117141214416e-07,0.036575624822294706,0.41630085336314115
urielplus_featural,40520,-0.3844503049647588,0.04624849270252054,9.35409642956794e-17,0.15014633615839001,40520,-0.21329447204424043,0.05237263155457683,4.64847753897158e-05,0.026922319725198984,0.44519624697971727
urielplus_syntactic,40520,-0.38416421531179845,0.06057882610110397,2.2745124154787298e-10,0.1499229557630708,40520,-0.1825803358223248,0.05284167866768114,0.0005498165323590244,0.01839536216493154,0.5247336202979305
urielplus_morphological,40520,-0.26550158756346853,0.10538444412185657,0.011756764091751502,0.07160915750067842,40520,-0.11377387565541203,0.044834756482963214,0.011160695749255009,0.01034218415232635,0.5714757237441594
modality_island,40520,-0.19091282920222646,0.17297366536741804,0.2697187932869838,0.03702580818413004,40520,-0.030310735550662556,0.07136080591067377,0.6710165474481233,0.0008285763928262968,0.8412325893585937
l2v_inventory,40520,-0.28387450714525975,0.09168424329681674,0.0019600546005975016,0.08186289633296218,40520,-0.13836363388950765,0.051986366444769755,0.007778480876073257,0.01710319850244746,0.5125887305593579
l2v_phonological,40520,-0.011070952499605885,0.06213519982907107,0.8585853749506113,0.0001245100175774061,40520,-0.009707898810926565,0.030330218680778228,0.7489126246681208,0.00011381633135831848,0.12311982087610285
phoible_phonological,46257,-0.1933096188225054,0.1601068281075906,0.2272862268170226,0.03742154555735433,46257,-0.1311613677964489,0.04046605181208951,0.0011899874672921947,0.019806716481976627,0.32149590591826827
urielplus_inventory,40520,-0.28557224906284606,0.09007456331054386,0.0015223007246229967,0.0828450040296771,40520,-0.14344458033675395,0.04794241966515556,0.0027713996475320366,0.018551350414439893,0.4976942584320019
urielplus_phonological,40520,-0.28155120566261127,0.09952289998188214,0.004669234788596258,0.08052840596535848,40520,-0.14151398187993758,0.04519547397587155,0.0017412092274253688,0.01931240068545248,0.49737746088888446
scripts_script,49872,-0.22375503019434756,0.07368628755994129,0.0023927081481436093,0.050016479275779124,49872,-0.10635227054739066,0.02089337265574778,3.576115667441822e-07,0.011851423909193026,0.52469327525278
urielplus_script,40520,-0.19881858813702974,0.08914014569335399,0.025720596600921526,0.040155800735650726,40520,-0.07247887528131226,0.03939935764293367,0.0658276669440413,0.004442716193375884,0.6354522182233868
